44: Patient910743815_study_0, CG Dice=0.7642, PZ Dice=0.2006, prostate Dice=0.8879, CG Dist=2.8723, PZ Dist=7.5166, prostate Dist=1.0000
45: Patient941592504_study_0, CG Dice=0.6124, PZ Dice=0.1131, prostate Dice=0.8818, CG Dist=4.3875, PZ Dist=7.5000, prostate Dist=1.0000
46: Patient879207934_study_0, CG Dice=0.6463, PZ Dice=0.2049, prostate Dice=0.7826, CG Dist=3.5355, PZ Dist=5.3852, prostate Dist=2.1213
47: Patient951135893_study_0, CG Dice=0.7743, PZ Dice=0.0352, prostate Dice=0.8641, CG Dist=2.6926, PZ Dist=12.3390, prostate Dist=1.4142
48: Patient994434010_study_0, CG Dice=0.1755, PZ Dice=0.3773, prostate Dice=0.5472, CG Dist=19.7231, PZ Dist=3.9051, prostate Dist=10.5475
49: Patient910907550_study_0, CG Dice=0.4849, PZ Dice=0.3842, prostate Dice=0.7883, CG Dist=9.8615, PZ Dist=4.7434, prostate Dist=3.0000
50: Patient928575900_study_0, CG Dice=0.6178, PZ Dice=0.1311, prostate Dice=0.7864, CG Dist=9.3875, PZ Dist=6.9642, prostate Dist=4.3875
51: Patient909419281_study_0, CG Dice=0.6220, PZ Dice=0.1708, prostate Dice=0.7780, CG Dist=4.0000, PZ Dist=7.0356, prostate Dist=2.5000
52: Patient940614618_study_0, CG Dice=0.4944, PZ Dice=0.0391, prostate Dice=0.8353, CG Dist=7.2284, PZ Dist=7.9687, prostate Dist=1.8708
53: Patient951795211_study_0, CG Dice=0.5396, PZ Dice=0.0913, prostate Dice=0.7478, CG Dist=5.4083, PZ Dist=10.2956, prostate Dist=3.0822
54: Patient940027058_study_0, CG Dice=0.3175, PZ Dice=0.2328, prostate Dice=0.6789, CG Dist=14.8661, PZ Dist=7.3655, prostate Dist=9.7596
55: Patient976673643_study_0, CG Dice=0.4054, PZ Dice=0.2654, prostate Dice=0.7401, CG Dist=13.0000, PZ Dist=4.9244, prostate Dist=7.0000
56: Patient912706323_study_0, CG Dice=0.7282, PZ Dice=0.1941, prostate Dice=0.8886, CG Dist=2.6926, PZ Dist=9.7082, prostate Dist=1.0000
57: Patient861846728_study_0, CG Dice=0.2707, PZ Dice=0.1803, prostate Dice=0.8310, CG Dist=9.4868, PZ Dist=7.2284, prostate Dist=2.0616
58: Patient910489986_study_0, CG Dice=0.6367, PZ Dice=0.1305, prostate Dice=0.8469, CG Dist=3.2016, PZ Dist=5.5902, prostate Dist=1.4142
59: Patient959814554_study_0, CG Dice=0.3162, PZ Dice=0.1793, prostate Dice=0.8209, CG Dist=11.0000, PZ Dist=6.8739, prostate Dist=3.2016
60: Patient866076620_study_0, CG Dice=0.3588, PZ Dice=0.1608, prostate Dice=0.7737, CG Dist=11.1131, PZ Dist=9.6047, prostate Dist=3.3166
61: Patient890199685_study_0, CG Dice=0.1233, PZ Dice=0.3209, prostate Dice=0.4160, CG Dist=17.3277, PZ Dist=4.4721, prostate Dist=13.8384
62: Patient848616772_study_0, CG Dice=0.3767, PZ Dice=0.2234, prostate Dice=0.8308, CG Dist=8.6603, PZ Dist=5.1235, prostate Dist=1.8028
63: Patient833660745_study_0, CG Dice=0.4857, PZ Dice=0.0316, prostate Dice=0.8029, CG Dist=6.2650, PZ Dist=12.1037, prostate Dist=2.0616
64: Patient886774322_study_0, CG Dice=0.7375, PZ Dice=0.1034, prostate Dice=0.8279, CG Dist=4.0000, PZ Dist=6.8739, prostate Dist=1.8028
65: Patient842946741_study_0, CG Dice=0.3906, PZ Dice=0.3131, prostate Dice=0.8412, CG Dist=8.0156, PZ Dist=5.6125, prostate Dist=2.0000
66: Patient846807280_study_0, CG Dice=0.0778, PZ Dice=0.3745, prostate Dice=0.3414, CG Dist=26.4055, PZ Dist=5.8310, prostate Dist=18.7156
67: Patient836053162_study_0, CG Dice=0.4280, PZ Dice=0.1826, prostate Dice=0.7339, CG Dist=8.7892, PZ Dist=5.5902, prostate Dist=3.9051
68: Patient808136284_study_0, CG Dice=0.6635, PZ Dice=0.1132, prostate Dice=0.8082, CG Dist=4.4721, PZ Dist=7.2111, prostate Dist=2.0000
69: Patient945134395_study_0, CG Dice=0.7629, PZ Dice=0.0953, prostate Dice=0.8742, CG Dist=3.5000, PZ Dist=8.9582, prostate Dist=1.1180
70: Patient905783150_study_0, CG Dice=0.4764, PZ Dice=0.2312, prostate Dice=0.8270, CG Dist=5.3385, PZ Dist=5.3852, prostate Dist=2.2361
71: Patient995907312_study_0, CG Dice=0.4652, PZ Dice=0.1695, prostate Dice=0.8502, CG Dist=9.2399, PZ Dist=6.2650, prostate Dist=1.4142
72: Patient965251812_study_0, CG Dice=0.5587, PZ Dice=0.0823, prostate Dice=0.7558, CG Dist=8.0000, PZ Dist=9.8615, prostate Dist=5.0990
